Date,AAPL,MSFT,GOOG,AMZN,BRK-B,TSLA,UNH,JNJ,V,XOM,TSM,NVDA,WMT,JPM,TCEHY,MC.PA,PG,LLY,CVX,MA,HD,META,005930.KS,600519.SS,BAC,ABBV,PFE,NVO,MRK,KO,PEP,ASML,BABA,ORCL,TMO,AVGO,COST,AZN,SHEL,OR.PA,CSCO,1398.HK,MCD,TM,DHR,NVS,TMUS,ACN,ABT,DIS,NKE,WFC,BMY,NEE,RMS.PA,LIN,UPS,PM,TXN,BHP,VZ,ADBE,MS,CMCSA,SCHW,601939.SS,AMGN,COP,TTE,0941.HK,RTX,HON,CRM,NFLX,QCOM,601288.SS,RY,300750.SZ,CDI.PA,T,CVS,DE,3690.HK,SAP,IBM,UNP,UL,LMT,LOW,601857.SS,GS,HDB,ELV,TD,3968.HK,601988.SS,CBA.AX,CAT,HSBC,INTC
2019-01-02,39.47999954223633,101.12000274658203,52.29249954223633,76.95649719238281,202.8000030517578,20.674667358398438,243.49000549316406,127.75,132.9199981689453,69.69000244140625,36.52000045776367,34.05500030517578,93.33999633789062,99.30999755859375,39.5099983215332,253.3000030517578,91.27999877929688,114.87999725341797,110.69000244140625,189.74000549316406,172.41000366210938,135.67999267578125,38750.0,598.97998046875,24.959999084472656,89.2300033569336,41.034156799316406,46.790000915527344,72.12786102294922,46.93000030517578,109.27999877929688,156.3000030517578,136.6999969482422,45.220001220703125,219.4199981689453,253.50999450683594,204.75999450683594,37.79999923706055,59.34000015258789,199.60000610351562,42.95000076293945,5.429999828338623,176.05999755859375,116.27999877929688,100.5,75.32257843017578,65.26000213623047,140.58999633789062,69.5,108.97000122070312,74.05999755859375,46.939998626708984,52.43000030517578,42.45750045776367,477.6000061035156,157.1999969482422,97.20999908447266,67.30999755859375,94.44999694824219,42.69402313232422,56.02000045776367,224.57000732421875,40.400001525878906,34.369998931884766,41.58000183105469,6.25,191.89999389648438,63.380001068115234,52.790000915527344,73.4000015258789,68.15607452392578,131.8300018310547,135.5500030517578,267.6600036621094,57.400001525878906,3.5199999809265137,68.91999816894531,73.66000366210938,333.6000061035156,22.31117820739746,65.58000183105469,148.10000610351562,41.20000076293945,99.18000030517578,110.14340209960938,137.77999877929688,52.11000061035156,264.7300109863281,92.2699966430664,7.159999847412109,172.02999877929688,51.834999084472656,255.02000427246094,50.2599983215332,27.700000762939453,3.5399999618530273,70.97000122070312,126.37999725341797,40.880001068115234,47.08000183105469
2019-01-03,35.54750061035156,97.4000015258789,50.803001403808594,75.01399993896484,191.66000366210938,20.02400016784668,236.85000610351562,125.72000122070312,128.1300048828125,68.62000274658203,34.36000061035156,31.997499465942383,92.86000061035156,97.11000061035156,38.38999938964844,243.64999389648438,90.63999938964844,111.30999755859375,108.56999969482422,181.17999267578125,168.61000061035156,131.74000549316406,37600.0,590.0,24.559999465942383,86.29000091552734,39.886146545410156,47.16999816894531,70.64885711669922,46.63999938964844,108.26000213623047,147.67999267578125,130.60000610351562,44.779998779296875,212.1699981689453,230.9600067138672,200.4199981689453,38.33000183105469,59.209999084472656,197.1999969482422,41.06999969482422,5.440000057220459,174.89999389648438,114.6500015258789,97.62000274658203,75.93190002441406,65.0199966430664,135.7899932861328,66.22000122070312,106.33000183105469,72.75,46.56999969482422,45.119998931884766,42.352500915527344,464.0,152.2899932861328,94.44999694824219,66.44000244140625,88.87999725341797,41.382694244384766,56.220001220703125,215.6999969482422,39.68000030517578,34.63999938964844,40.720001220703125,6.260000228881836,188.97999572753906,62.18000030517578,52.90999984741211,74.0999984741211,65.12271881103516,130.07000732421875,130.39999389648438,271.20001220703125,55.70000076293945,3.5399999618530273,68.62999725341797,73.83000183105469,326.0,22.34139060974121,65.2300033569336,144.0500030517578,41.25,95.45999908447266,107.94454956054688,132.67999267578125,51.869998931884766,258.0799865722656,91.16999816894531,7.210000038146973,169.50999450683594,50.90999984741211,248.4199981689453,49.970001220703125,27.600000381469727,3.549999952316284,71.83999633789062,121.51000213623047,40.43000030517578,44.4900016784668
2019-01-04,37.064998626708984,101.93000030517578,53.535499572753906,78.76950073242188,195.1999969482422,21.179332733154297,239.6199951171875,127.83000183105469,133.64999389648438,71.1500015258789,34.970001220703125,34.04750061035156,93.44000244140625,100.69000244140625,40.619998931884766,251.14999389648438,92.48999786376953,114.66000366210938,110.81999969482422,189.75999450683594,173.6199951171875,137.9499969482422,37450.0,602.0,25.579999923706055,89.06999969482422,40.79696273803711,47.34000015258789,72.77671813964844,47.56999969482422,110.4800033569336,154.07000732421875,139.75,46.709999084472656,221.75999450683594,233.22999572753906,206.24000549316406,39.18000030517578,60.54999923706055,200.0,42.91999816894531,5.519999980926514,178.27999877929688,119.7300033569336,100.44999694824219,76.96236419677734,67.48999786376953,141.07000732421875,68.11000061035156,109.61000061035156,74.6500015258789,47.95000076293945,46.88999938964844,43.13249969482422,477.79998779296875,156.6300048828125,97.73999786376953,69.55000305175781,92.9000015258789,43.9072265625,56.36000061035156,226.19000244140625,41.29999923706055,35.810001373291016,42.439998626708984,6.360000133514404,195.44000244140625,63.75,54.459999084472656,76.80000305175781,67.35053253173828,134.6199951171875,137.9600067138672,297.57000732421875,56.599998474121094,3.5899999141693115,70.31999969482422,76.95999908447266,334.70001220703125,22.915407180786133,66.81999969482422,151.67999267578125,44.0,98.73999786376953,112.16061401367188,137.7899932861328,52.720001220703125,265.0400085449219,93.87000274658203,7.289999961853027,175.0500030517578,51.790000915527344,249.91000366210938,50.7599983215332,28.25,3.5799999237060547,71.88999938964844,128.14999389648438,41.61000061035156,47.220001220703125
2019-01-07,36.98249816894531,102.05999755859375,53.419498443603516,81.47550201416016,196.91000366210938,22.33066749572754,240.0800018310547,127.01000213623047,136.05999755859375,71.5199966430664,35.22999954223633,35.849998474121094,94.54000091552734,100.76000213623047,40.900001525878906,250.6999969482422,92.12000274658203,115.27999877929688,112.26000213623047,191.22000122070312,177.0399932861328,138.0500030517578,38750.0,605.489990234375,25.559999465942383,90.37000274658203,41.01517868041992,47.63999938964844,71.97518920898438,46.95000076293945,109.52999877929688,157.58999633789062,143.10000610351562,47.45000076293945,224.75,237.97999572753906,207.0,38.779998779296875,60.630001068115234,197.4499969482422,43.209999084472656,5.539999961853027,180.22000122070312,121.27999877929688,100.86000061035156,76.0573501586914,68.44000244140625,141.55999755859375,69.12999725341797,110.55999755859375,75.72000122070312,47.63999938964844,48.40999984741211,43.06999969482422,472.20001220703125,156.49000549316406,97.41000366210938,67.41999816894531,94.5,44.13916015625,56.720001220703125,229.25999450683594,41.709999084472656,35.43000030517578,42.7400016784668,6.340000152587891,198.07000732421875,63.470001220703125,54.36000061035156,77.94999694824219,67.3190689086914,135.3699951171875,142.22000122070312,315.3399963378906,56.439998626708984,3.569999933242798,70.61000061035156,77.41999816894531,336.3999938964844,23.3308162689209,68.61000061035156,154.16000366210938,45.45000076293945,99.70999908447266,112.95410919189453,138.64999389648438,52.33000183105469,268.0799865722656,95.6500015258789,7.320000171661377,176.02000427246094,51.525001525878906,250.35000610351562,50.90999984741211,28.649999618530273,3.569999933242798,72.56999969482422,128.22999572753906,41.04999923706055,47.439998626708984
2019-01-08,37.6875,102.80000305175781,53.81399917602539,82.8290023803711,196.30999755859375,22.356666564941406,243.2899932861328,129.9600067138672,136.8000030517578,72.04000091552734,34.939998626708984,34.95750045776367,95.19999694824219,100.56999969482422,40.7599983215332,258.54998779296875,92.45999908447266,116.33999633789062,111.7699966430664,192.27999877929688,177.88999938964844,142.52999877929688,38100.0,604.7899780273438,25.510000228881836,90.79000091552734,41.204933166503906,48.34000015258789,72.5095443725586,47.47999954223633,110.58000183105469,156.42999267578125,146.7899932861328,47.880001068115234,229.97999572753906,236.07000732421875,208.5500030517578,38.130001068115234,60.2599983215332,198.64999389648438,43.560001373291016,5.519999980926514,180.60000610351562,122.30999755859375,103.43000030517578,77.70609283447266,67.7699966430664,145.13999938964844,68.30000305175781,111.41999816894531,76.7300033569336,47.540000915527344,47.9900016784668,43.3849983215332,479.8999938964844,158.14999389648438,97.41999816894531,67.87000274658203,94.37999725341797,44.00535202026367,58.380001068115234,232.67999267578125,41.45000076293945,35.720001220703125,43.279998779296875,6.340000152587891,200.61000061035156,64.31999969482422,54.189998626708984,78.44999694824219,68.5336685180664,135.08999633789062,145.72000122070312,320.2699890136719,55.95000076293945,3.5299999713897705,70.5999984741211,79.33000183105469,345.1000061035156,23.625377655029297,68.52999877929688,156.9199981689453,43.900001525878906,101.2699966430664,114.56022644042969,150.75,52.34000015258789,269.8699951171875,97.62999725341797,7.329999923706055,175.3699951171875,51.904998779296875,249.4600067138672,51.11000061035156,28.549999237060547,3.5399999618530273,72.47000122070312,129.77000427246094,41.15999984741211,47.7400016784668
2019-01-09,38.32749938964844,104.2699966430664,53.733001708984375,82.97100067138672,196.3699951171875,22.568666458129883,243.63999938964844,128.92999267578125,138.41000366210938,72.41999816894531,35.61000061035156,35.64500045776367,94.88999938964844,100.4000015258789,42.33000183105469,261.54998779296875,90.94999694824219,117.20999908447266,113.2699966430664,195.77000427246094,179.72999572753906,144.22999572753906,39600.0,616.1199951171875,25.760000228881836,87.80999755859375,41.119544982910156,48.869998931884766,71.95610809326172,46.56999969482422,107.48999786376953,162.9199981689453,151.9199981689453,47.779998779296875,236.38999938964844,246.27999877929688,209.89999389648438,37.79999923706055,60.959999084472656,197.0500030517578,43.31999969482422,5.690000057220459,180.2899932861328,122.91999816894531,104.36000061035156,77.92115020751953,67.72000122070312,145.8699951171875,69.44000244140625,112.66999816894531,76.58999633789062,47.79999923706055,47.18000030517578,43.1974983215332,491.20001220703125,158.4600067138672,97.91999816894531,67.91000366210938,96.23999786376953,44.24620819091797,57.04999923706055,235.42999267578125,41.7400016784668,36.060001373291016,43.83000183105469,6.409999847412109,200.3699951171875,66.44999694824219,55.380001068115234,79.80000305175781,68.79798889160156,135.72000122070312,145.99000549316406,319.9599914550781,56.61000061035156,3.549999952316284,72.44000244140625,77.9800033569336,349.6000061035156,22.73413848876953,66.04000091552734,154.3300018310547,45.599998474121094,102.6500015258789,115.38240814208984,150.36000061035156,51.900001525878906,270.5400085449219,97.02999877929688,7.329999923706055,176.47000122070312,51.45000076293945,251.35000610351562,51.58000183105469,29.350000381469727,3.549999952316284,72.33000183105469,130.27000427246094,41.439998626708984,48.0099983215332
2019-01-10,38.45000076293945,103.5999984741211,53.51649856567383,82.81099700927734,196.5800018310547,22.99799919128418,244.8699951171875,129.7100067138672,138.6699981689453,72.05000305175781,36.41999816894531,36.307498931884766,94.95999908447266,100.38999938964844,42.45000076293945,259.1499938964844,91.16999816894531,115.94000244140625,113.44999694824219,196.9499969482422,179.05999755859375,144.1999969482422,39800.0,618.77001953125,25.729999542236328,88.19999694824219,40.14231491088867,48.540000915527344,71.0687026977539,47.06999969482422,108.1500015258789,162.61000061035156,151.69000244140625,47.81999969482422,238.86000061035156,249.52000427246094,210.63999938964844,38.2599983215332,61.2400016784668,198.14999389648438,43.2400016784668,5.690000057220459,181.5500030517578,124.48999786376953,105.36000061035156,78.95161437988281,67.95999908447266,147.02000427246094,69.08000183105469,112.80000305175781,76.41999816894531,47.75,47.720001220703125,43.84749984741211,489.8999938964844,161.85000610351562,98.91000366210938,68.1500015258789,97.72000122070312,42.408565521240234,57.599998474121094,237.77000427246094,41.65999984741211,35.81999969482422,43.709999084472656,6.340000152587891,202.67999267578125,67.94000244140625,54.959999084472656,79.75,69.48395538330078,137.75,147.0399932861328,324.6600036621094,56.79999923706055,3.509999990463257,72.94999694824219,76.27999877929688,349.0,22.960725784301758,65.55000305175781,159.1199951171875,44.95000076293945,103.33999633789062,116.43403625488281,154.66000366210938,52.150001525878906,277.5,95.9800033569336,7.349999904632568,176.0,51.34000015258789,252.27000427246094,51.95000076293945,29.549999237060547,3.5199999809265137,72.44999694824219,132.9600067138672,41.529998779296875,48.560001373291016
2019-01-11,38.0724983215332,102.80000305175781,52.859500885009766,82.02799987792969,196.2899932861328,23.150667190551758,247.6699981689453,129.75,138.05999755859375,71.72000122070312,36.61000061035156,37.20750045776367,94.83999633789062,99.91000366210938,42.11000061035156,258.29998779296875,91.7699966430664,116.18000030517578,112.54000091552734,195.89999389648438,179.41000366210938,143.8000030517578,40500.0,635.8800048828125,26.030000686645508,88.30999755859375,40.68311309814453,48.54999923706055,71.46946716308594,47.34000015258789,108.16000366210938,162.02000427246094,151.32000732421875,48.290000915527344,240.0,250.57000732421875,210.50999450683594,36.95000076293945,60.540000915527344,197.9499969482422,43.4900016784668,5.710000038146973,182.3699951171875,125.06999969482422,105.26000213623047,78.6469497680664,69.0,146.22999572753906,69.33000183105469,112.6500015258789,76.04000091552734,47.869998931884766,47.9900016784668,43.9275016784668,496.3999938964844,160.2100067138672,97.91000366210938,69.5,98.58999633789062,42.105262756347656,58.02000045776367,237.5500030517578,41.7400016784668,35.630001068115234,43.81999969482422,6.360000133514404,200.55999755859375,66.38999938964844,53.88999938964844,80.0,69.19446563720703,137.36000061035156,147.5500030517578,337.5899963378906,57.5,3.5299999713897705,72.79000091552734,75.29000091552734,348.20001220703125,23.315710067749023,65.80999755859375,158.27999877929688,45.5,101.9800033569336,116.11854553222656,153.2100067138672,52.400001525878906,277.7300109863281,97.30000305175781,7.380000114440918,176.92999267578125,51.31999969482422,256.6400146484375,51.86000061035156,30.149999618530273,3.5299999713897705,71.66000366210938,132.10000610351562,41.41999816894531,48.93000030517578
2019-01-14,37.5,102.05000305175781,52.234500885009766,80.8604965209961,195.77999877929688,22.293333053588867,248.05999755859375,128.27999877929688,137.10000610351562,71.62999725341797,35.7599983215332,37.61000061035156,94.94999694824219,100.94000244140625,41.34000015258789,251.6999969482422,91.1500015258789,114.68000030517578,111.72000122070312,195.42999267578125,178.80999755859375,145.38999938964844,40050.0,624.5999755859375,26.3700008392334,84.76000213623047,40.199241638183594,46.650001525878906,70.0095443725586,47.150001525878906,107.31999969482422,158.69000244140625,149.27000427246094,48.18000030517578,235.0399932861328,250.8699951171875,209.0,35.54999923706055,60.40999984741211,195.89999389648438,43.209999084472656,5.630000114440918,181.22000122070312,125.38999938964844,104.08999633789062,77.79570007324219,67.91000366210938,144.92999267578125,68.2699966430664,112.41999816894531,76.08999633789062,48.41999816894531,47.970001220703125,42.807498931884766,488.70001220703125,158.02000427246094,99.13999938964844,69.62000274658203,96.33000183105469,42.05173873901367,58.029998779296875,234.55999755859375,42.47999954223633,35.77000045776367,43.79999923706055,6.300000190734863,196.77999877929688,65.61000061035156,54.29999923706055,80.05000305175781,69.76085662841797,137.61000061035156,146.0500030517578,332.94000244140625,57.29999923706055,3.5,72.87999725341797,76.08000183105469,341.0,23.126888275146484,65.33999633789062,157.41000366210938,43.900001525878906,101.11000061035156,115.0956039428711,153.88999938964844,51.75,277.510009765625,96.91000366210938,7.309999942779541,178.72000122070312,50.43000030517578,255.1199951171875,51.70000076293945,30.049999237060547,3.5,71.91999816894531,131.8000030517578,40.97999954223633,48.349998474121094
2019-01-15,38.26750183105469,105.01000213623047,53.85749816894531,83.72799682617188,196.94000244140625,22.961999893188477,256.8699951171875,129.36000061035156,137.33999633789062,71.66999816894531,36.040000915527344,37.467498779296875,96.25,101.68000030517578,42.099998474121094,250.8000030517578,92.01000213623047,117.08999633789062,112.12000274658203,196.52000427246094,176.47000122070312,148.9499969482422,41100.0,659.97998046875,26.549999237060547,85.5,40.54079818725586,47.20000076293945,71.08778381347656,47.56999969482422,108.98999786376953,159.22999572753906,150.8800048828125,48.380001068115234,235.47000122070312,256.489990234375,211.02999877929688,36.11000061035156,60.41999816894531,196.89999389648438,44.02000045776367,5.699999809265137,181.02000427246094,126.27999877929688,105.04000091552734,78.73655700683594,67.13999938964844,146.88999938964844,70.47000122070312,111.76000213623047,77.87999725341797,47.66999816894531,49.720001220703125,43.68000030517578,494.0,157.22999572753906,97.55999755859375,70.5,97.62999725341797,42.39964294433594,58.099998474121094,242.36000061035156,42.880001068115234,35.83000183105469,44.25,6.380000114440918,199.3800048828125,66.02999877929688,53.810001373291016,81.5999984741211,69.89301300048828,137.77000427246094,149.19000244140625,354.6400146484375,55.72999954223633,3.5299999713897705,73.31999969482422,77.37000274658203,344.1000061035156,23.11178207397461,63.7400016784668,157.0500030517578,43.75,102.43000030517578,116.37667083740234,152.47999572753906,52.2400016784668,276.0,94.91000366210938,7.340000152587891,179.91000366210938,51.1349983215332,260.3500061035156,52.279998779296875,30.850000381469727,3.5199999809265137,72.6500015258789,130.69000244140625,41.220001220703125,48.599998474121094
